id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
12864315,"Ησυχο ισόγειο με κήπο, Περιστέρι  Αθηνα",70327674,Georgia,,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,38.00777,23.68993,Entire home/apt,49,2,34,2022-06-30,0.44,1,230,1,00000035952
21801056,'Romeo & Juliet' Cozy Suite With Breathtaking View,101717597,Nick,,ΡΟΥΦ,37.98305,23.67552,Entire home/apt,36,2,104,2022-08-22,1.81,1,343,17,00000421302
17880489,"Quiet, bright and functional apartment",12689173,Lydia,,ΙΛΙΣΙΑ,37.97829,23.75849,Entire home/apt,43,2,58,2022-06-11,0.90,1,204,5,00000030249
52251374,Voula’s Apartment,280475397,Ioannis,,ΓΟΥΒΑ,37.95879,23.7478,Entire home/apt,30,2,12,2022-09-19,1.11,2,264,12,00001365257
38088957,Apartment Kallithea Athens,289096878,Antonios,,ΠΕΤΡΑΛΩΝΑ,37.95765,23.70799,Entire home/apt,70,2,2,2019-10-11,0.05,1,10,0,
42573535,Elysium Boutique Apartment 103 (One bedroom),336027664,Elysium,,ΓΟΥΔΙ,37.97957,23.75738,Entire home/apt,81,1,6,2021-12-14,0.24,10,351,4,00000517254
38314289,"Iris boutique bnb aprt, 3 guests in Central Athens",62115040,Stamatios,,ΓΟΥΔΙ,37.97891,23.75904,Entire home/apt,50,3,4,2020-02-23,0.11,5,105,0,00000959623
38256046,Flat near the university campus and city centre,127362789,Vasileios,,ΓΟΥΔΙ,37.97648,23.77824,Entire home/apt,50,1,1,2019-10-02,0.03,1,35,0,AMA 00000871588
33671549,BES 3 - Spacious New Studio 3 with Green Balcony,253784452,Georgia,,ΙΛΙΣΙΑ,37.97225,23.75146,Entire home/apt,81,1,129,2022-09-16,3.14,11,277,41,00001107663
27000145,"Large STUDIO, comfortable, Wi-Fi",2942620,FANI And GEORGE,,ΙΛΙΣΙΑ,37.97755,23.75985,Entire home/apt,51,5,2,2019-07-12,0.04,2,362,0,00000274264
14640404,Quiet cute cozy apartment in the center of Athens,89488936,Κωνσταντινα,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95862,23.71188,Entire home/apt,30,3,49,2020-01-27,0.67,2,18,0,00000196862
9340986,Athenian Hospitality Best Price!,43425514,Penelope,,ΓΟΥΔΙ,37.97928,23.7583,Entire home/apt,35,2,28,2019-12-01,0.34,1,262,0,00000429684
42777548,3rd-floor studio (Agios Thomas square-Goudi),185665509,Mina,,ΓΟΥΔΙ,37.98031,23.76531,Entire home/apt,15,3,1,2020-07-18,0.04,1,262,0,
3273454,ΠΑΠΑΓΟΥ ΙΣΟΓΕΙΟ ΔΙΑΜΕΡΙΣΜΑ 60 m2,16540841,Manos,,ΓΟΥΔΙ,37.97809,23.79376,Entire home/apt,33,1,0,,,1,365,0,
42573484,Elysium Boutique Apartment 101 (One bedroom),336027664,Elysium,,ΙΛΙΣΙΑ,37.97896,23.7573,Entire home/apt,81,1,8,2022-07-29,0.29,10,353,6,00000508240
20522919,"Beautiful, bright room with a view, at Zografou",9569765,Georgia,,ΓΟΥΔΙ,37.97718,23.77425,Private room,25,90,0,,,1,274,0,
9073342,ΙΔΙΩΤΙΚΟ ΔΩΜΑΤΙΟ ΣΤΗΝ ΑΘΗΝΑ,47322179,Rania,,ΓΟΥΒΑ,37.94228,23.75762,Private room,19,1,74,2022-09-15,0.95,9,61,22,00000511682
9539659,Trendy Minimal Flat in posh Athens,49409072,Christine,,ΠΕΝΤΑΓΩΝΟ,38.02146,23.78846,Entire home/apt,100,3,15,2022-06-11,0.18,1,216,4,
29297429,Stylish Formionos Apartment,100140550,Break,,ΠΑΓΚΡΑΤΙ,37.97083,23.7514,Entire home/apt,119,1,16,2022-08-01,0.34,7,331,1,00000515836
40384901,Beautiful Apartment in Central Athens Neighborhood,113548208,Mgv,,ΠΑΓΚΡΑΤΙ,37.96862,23.75384,Entire home/apt,103,1,48,2022-03-15,1.45,64,146,12,00001317380
35065823,Διαμερισμα 55 τμ ανακαινισμένο Ιφιγένειας Καλλιθέα,90434832,Dimos,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95389,23.70756,Entire home/apt,27,2,3,2019-10-14,0.08,3,142,0,
27497739,Cozy vintage room in Athens,206927597,Petros Val,,ΙΛΙΣΙΑ,37.97572,23.76208,Private room,21,28,46,2021-12-08,0.93,3,364,1,00001197156
24936393,Home Athena,187943229,Ioannis,,ΒΟΤΑΝΙΚΟΣ,37.99882,23.6902,Entire home/apt,30,1,18,2020-08-03,0.35,2,262,0,
700495919729691049,Vironas apartment 2 bedrooms 4 pers.,182156346,Maryland,,ΠΑΓΚΡΑΤΙ,37.963088365737946,23.75184182934747,Entire home/apt,41,1,0,,,42,343,0,00001603678
45723464,Elenis Homes,297541778,Lena,,ΓΟΥΒΑ,37.96177,23.74636,Entire home/apt,25,1,0,,,1,19,0,00000662417
42856529,Sensitive Apartment Near Metro Dafni,341264176,Alexantros,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95192,23.73576,Entire home/apt,49,2,0,,,1,264,0,00000976026
26768397,Life Houses Athens City Center Apartment,101950443,Life Houses,,ΠΑΓΚΡΑΤΙ,37.97214,23.75131,Entire home/apt,40,2,0,,,6,333,0,00001229614
10595,"96m2, 3BR, 2BA, Metro, WI-FI etc...",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98863,23.76527,Entire home/apt,200,1,34,2022-07-02,0.25,7,93,3,00000957568
10990,Athens Quality Apartments - Deluxe Apartment,37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98903,23.76448,Entire home/apt,78,1,63,2022-07-22,0.52,7,165,14,00001070920
