,host_id,host_about,host_response_time,host_response_rate,host_is_superhost,host_verifications,calculated_host_listings_count,host_identity_verified,host_has_profile_pic
73,3137668,"Hi! My name is Efi and I would like to welcome you to my cosy apartments, that i designed and decorated on my own, in the center of Athens, near Acropolis!",within an hour,100%,t,"['email', 'phone', 'reviews', 'jumio', 'government_id']",2,t,t
74,3206172,"THIS IS MY PERSONAL SUMMER HOME  TO LET WHEN I AM AWAY


MANAGER OF MY CO , INTERESTED IN SCUBA AND SAILING",a few days or more,0%,f,"['email', 'phone', 'work_email']",1,f,t
75,2425678,"English guy, have travelled all over the world but Athens is my favourite city ",within an hour,100%,t,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",1,t,t
77,3468523,"Hello! My name is Yannis. You are welcomed to come and stay at my apartment in Athens , Greece . If you have any questions feel free to ask!",within a few hours,100%,f,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'selfie', 'government_id']",1,t,t
78,3514860,Hi all! The only investment I haven't regret in my life is traveling and meeting people!  From June 1st 2020  I am  hosting again with safety :),within a few hours,100%,f,"['email', 'phone', 'facebook', 'reviews', 'offline_government_id', 'government_id']",2,t,t
80,3557919,"Artistic and Vibrant Individual. Open minded and a great host.
Looking forward to making your stay as enjoyable as possible.",within a few hours,100%,f,"['email', 'phone', 'reviews', 'jumio', 'government_id', 'work_email']",1,t,t
81,2942620,"We are both architects,. Like good music, books, art, theater, movies and good food. Interesting in cooking. We are keep moving among Athens,  Astros and Alexandroupolis.
Amateur dancers (ballroom, latin).
Like traveling and knowing other places, especially with car.
Interesting in knowing people from other countries. We have listings, in Athens centre , in Astros - Peloponnese by the sea and  Alexandroupolis. We try our guests to be as comfortable as we would also like to be when traveling. So, we are happy as all our guests are satisfied till now.",within an hour,100%,t,"['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",1,t,t
82,2539665,"I was born and raised in Athens. I have lived, studied and worked in the USA for several years. My love for travel and my experience as a host has earned me 27 consecutive times the superhost status.
My guests get to experience the Greek hospitality in a more contemporary way. Really glad to meet travelers from every corner of the world.
",within an hour,100%,t,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",10,t,t
83,2534881,"Welcome in my profile on Airbnb! Infos about our house, the transportation and the neighborhood are already in the listing. In case of any further question please feel free to contact me before booking. Some introduction about you and your guests, is really appreciated. ",within an hour,100%,f,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",2,t,t
84,3625710,"Dear Traveler,

I've been an active member of the Airbnb Community for quite some time and have thankfully acquired lots of experience in hosting people. 

My character is that of an open-minded person who inquires into life with a philosophical touch while following my desires in a pretty straightforward way.  

Enjoy your stay in Athens. :)",within an hour,100%,t,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",2,t,t
86,3745284,"  
Hi , my name is Elpidoforos which can be translated from Greek as ""the one who bares hope. I  actually find it difficult to live up to the meaning of my name, but I really am doing my best. Most people just call me Doros for short - which, by the way, means ""gift"" or ""present"" in Greek. 

I was brought up in Athens and I have lived here, practically all my life. My studies in Sociology and Marketing, as well as my previous work experience - which included direct sales - provided me with a thorough understanding of social  behavior and how this is affected by cultural and other factors. 

I was working as a travel agent for seven years, mainly as an outgoing tour operator for Middle East countries - til 2011 when riots broke out in Syria, which was our main destination. I've been to Syria, Jordan and Lebanon more that 10 times as a tour leader and this was, without doubt  a very important experience in my life. 

My hobbies include playing bass, going to the movies and to the theatre and going to concerts.

One of the things I enjoy most in life is meeting people from different countries and cultural backrounds. This is one of the reasons why I singed up to Airbnb.
I strongly believe that I can relate to very different types of people and help them experience Greek hospitality in a more contemporary fashion.

I am really looking forward to meeting as many travelers as I can and will do my best to be the best host I can be. ",within an hour,100%,f,"['email', 'phone', 'reviews', 'jumio', 'government_id']",1,t,t
89,3756353,"I am a happy girl that Iikes to meet new persons from all over the world.
I like to walk ,to travel a lot, be with friends.
I feel my guests as my friends  and I  wish that they have a wonderful stay.",within an hour,100%,t,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",2,t,t
90,3950691,"Ready to travel in a sort notice !!!
Ηθοποιός - Αγρότισσα - Εμψυχώτρια Θεατρικού Παιχνιδιού - Χειμερινή κολυμβήτρια ...",within a few hours,100%,f,"['email', 'phone', 'reviews', 'offline_government_id', 'government_id']",1,t,t
91,3954884,"Je suis architect d interieur,J ai fait mes etudes a Paris ou jai vecu pendant 5 ans.La creativite est mon passion et l autre c est le bateau a voile J adore voyager dans la mer Egee et Ionienne ou alors en avion,train voiture n importe quoi.Je vois la beaute meme la ou les autres ne la voient pas,et j adore les enfants et les animaux (j en ai 5)J adore la litterature ancienne greque, francaise ,chinoise  russe etc.J aime bien me ballader dans les rues inconnues d une ville,voir comment les habitants vivent,parler avec eux.Pour moi les voyages sont des voyages d esprit et d ame.J aimerais aussi partager mon amour pour Athenes avec mes hotes.Leur indiquer des endroits pas marques sur les cartes.",within an hour,100%,f,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",1,t,t
92,3999271,Hello! My name is Emily. If you want to be in the heart of Athens look no further!! You are welcomed to come and stay at my apartment in Athens. If you have any questions feel free to ask!,within a few hours,83%,f,"['email', 'phone', 'reviews']",2,f,t
93,964919,"I have an art gallery-  I am very friendly and helpful and can provide you with maps directions, internet connection, fresh towels smelly soaps, toothbrush and toothpaste- hair dryer, something extra you may need that you forgot to bring with you we can provide- my space is a  3 min walk from metro station - I have lived in Paris for 10 years spoiled from the beauty of that city- i speak french and english italian and and communicate in spanish. I can give you tips on what to do in the city and insiders information - I run an art gallery that is located right in front of the house  that you will enjoy visiting. 
Things I like a lot- children, gardens, flowers, politeness, kindness, humour, cyclists, yoga, exercising...I love travelling to India, Paris, New York, favourite books include Tolstoy, Murakami, Moravia, music - Cat Power, Lou Reed, David Bowie, Madonna, Bach, And Food I prefer fresh healthy stuff with no pesticides and chemicals - Love sardines and avocado!
I have a motto- The ocean is made of drops so dont think you cannot make a difference!

the city trying to recreate beauty in my own space

I love bicycles and cycling I think it makes a city happier and cleaner - I like to exercise - am very clean and tidy and love to take care of my garden and plants - I can't live without travelling, reading books, swimming, - my favourite travel destinations so far are Paris, india, greek islands...

Having me as a guest would be no trouble because I think I would be out and about the whole day and you would probably not see me at all ! Having me as a host it depends what you would want if you need me I would be very helpfull and tell you all the insiders information about athens or if you like to be left alone I would not bother you in the least!

life moto

the ocean is made of drops 
you can make a differenc by being kind and helpful 
",,,f,"['phone', 'facebook', 'reviews']",1,f,t
94,556615,"My name is Miglen. My education is Profile ceramics, design and decoration and sculpture. I am funny and friendly. I like to travel and to create new friends, but also I work hardly. So ... this is me :)",within an hour,100%,f,"['email', 'phone', 'reviews', 'jumio', 'government_id']",12,t,t
95,4134047,"Like to listen to and tell stories, to people, in cities. When in nature, I prefer to walk and swim.",,,f,"['email', 'phone', 'google', 'reviews', 'jumio', 'government_id', 'work_email']",1,t,t
96,4136310,i am a theatre director living in Athens and sometime in my island Zante that is why i can rent my apt which is rather cool during the summer. My apt has a small patio  it is a pet friendly apt ,within a day,67%,f,"['email', 'phone', 'jumio', 'offline_government_id', 'government_id']",1,t,t
98,4248171,"Με μία λέξη νομίζω ότι είμαι ο άνθρωπος της επικοινωνίας. Έχω σπουδάσει Δημόσιες Σχέσεις και τις ασκώ, έχω σπουδάσει υποκριτική και είμαι ενεργή ηθοποιός και όλες οι δουλειές που έκανα ή κάνω έχουν σχέση με την επικοινωνία. 
Αγαπώ το θέατρο, τη γυμναστική, τα ταξίδια και τα ζώα. Το τελευταίο μου ταξίδι ήταν στο Όσλο και το ερωτεύτηκα. Το τελευταίο βιβλίο που διάβασα είναι το Πάρα πολύ ευτυχία της Άλις Μονρό και ανακάλυψα έναν καινούριο κόσμο, αυτόν των διηγημάτων. Η τελευταία ταινία που είδα ήταν Ο υπνοτιστής, σουηδική και ήταν από τις καλύτερες ταινίες suspense που έχω δει.",within an hour,100%,f,"['email', 'phone', 'reviews', 'jumio']",1,t,t
99,4259738,"We are a couple from Greece Hydra Island. . In case you need any further information for your stay with us, please feel free to contact me.",within an hour,100%,t,"['email', 'phone', 'reviews', 'jumio', 'government_id']",1,t,t
100,4277991,,,,f,"['email', 'phone', 'reviews', 'work_email']",1,f,t
101,4280158,,,,f,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",1,t,t
102,4570845,,within a few hours,100%,f,"['email', 'phone', 'reviews']",1,f,t
103,4544938,"Hello I am Artemis. 
To guests: I have taken lots of care to make my apartments as welcoming and relaxing as possible so your stay will be unforgetable.
To hosts: I am careful and respectful of other people's homes and possesions as I would like my guests to be of mine.",within a day,50%,f,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",1,t,t
104,4700824,"My name is Athina Markantoni. I am a developing consultant and work on a free lance base as a consultant on EU projects.  I am Greek, a like classical music, modern furniture and design, good food, travel (Phone number hidden by Airbnb) ΑΡΙΘΜΟΣ ΜΗΤΡΩΟΥ ΑΚΙΝΗΤΟΥ ",within an hour,89%,f,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",1,t,t
105,4723074,"I am an ex journalist, a playwright and Pilates instructor. I'm passionate about art, philosophy and my city. 
",within a few hours,100%,t,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",2,t,t
