,id,neighbourhood_cleansed,reviews_per_month,room_type
9225,51763031,ΘΗΣΕΙΟ,4.0,Entire home/apt
9226,51764669,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,5.12,Entire home/apt
9227,51765403,ΝΙΡΒΑΝΑ,1.0,Entire home/apt
9228,51780189,ΘΗΣΕΙΟ,2.0,Entire home/apt
9229,51787340,ΓΚΥΖΗ,0.0,Entire home/apt
9230,51793171,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,6.0,Entire home/apt
9231,51795214,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,1.2,Entire home/apt
9232,51810406,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,1.73,Entire home/apt
9233,51812178,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Private room
9234,51812645,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Private room
9235,51812859,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,7.0,Entire home/apt
9236,51813157,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Private room
9237,51819619,ΙΛΙΣΙΑ,0.59,Entire home/apt
9238,51832930,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Private room
9239,51834121,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.94,Private room
9240,51834602,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,1.0,Entire home/apt
9241,51835504,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Private room
9242,51835539,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Private room
